__UUID4__;44e53045-3338-4a42-acb8-a38a5817b84b
__CREATED-ON__;2021-01-13 13:38:54.295762
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
EVENT;2021-01-13 13:41:09.708947;0.4067;;94;Port1In
EVENT;2021-01-13 13:41:09.835901;0.533;;95;Port1Out
EVENT;2021-01-13 13:41:09.867815;0.5645;;94;Port1In
EVENT;2021-01-13 13:41:10.000843;0.6981;;95;Port1Out
EVENT;2021-01-13 13:41:10.033755;0.7313000000000001;;94;Port1In
EVENT;2021-01-13 13:41:10.156758;0.8538;;95;Port1Out
EVENT;2021-01-13 13:41:10.202635;0.8998;;94;Port1In
EVENT;2021-01-13 13:41:10.324309;1.0222;;95;Port1Out
EVENT;2021-01-13 13:41:10.374175;1.0715000000000001;;94;Port1In
EVENT;2021-01-13 13:41:10.464934;1.1627;;95;Port1Out
EVENT;2021-01-13 13:41:10.530758;1.228;;94;Port1In
EVENT;2021-01-13 13:41:10.614534;1.3117;;95;Port1Out
EVENT;2021-01-13 13:41:10.710276;1.4079000000000002;;94;Port1In
EVENT;2021-01-13 13:41:10.801033;1.4991;;95;Port1Out
EVENT;2021-01-13 13:41:10.864863;1.5630000000000002;;94;Port1In
EVENT;2021-01-13 13:41:10.982548;1.6800000000000002;;95;Port1Out
EVENT;2021-01-13 13:41:11.048373;1.7456;;94;Port1In
EVENT;2021-01-13 13:41:11.641785;2.3389;;95;Port1Out
EVENT;2021-01-13 13:41:11.692681;2.39;;94;Port1In
EVENT;2021-01-13 13:41:11.815321;2.5127;;95;Port1Out
EVENT;2021-01-13 13:41:11.866185;2.5636;;94;Port1In
EVENT;2021-01-13 13:41:12.010800;2.7081;;95;Port1Out
EVENT;2021-01-13 13:41:12.039722;2.7366;;94;Port1In
EVENT;2021-01-13 13:41:19.514731;10.2118;;95;Port1Out
EVENT;2021-01-13 13:41:19.531686;10.228900000000001;;94;Port1In
EVENT;2021-01-13 13:41:25.304248;16.0014;;95;Port1Out
EVENT;2021-01-13 13:41:25.369074;16.0668;;94;Port1In
EVENT;2021-01-13 13:41:25.480777;16.1781;;95;Port1Out
EVENT;2021-01-13 13:41:25.517677;16.2145;;94;Port1In
EVENT;2021-01-13 13:41:39.303809;30.0;;158;Tup
TRANSITION;2021-01-13 13:41:39.303809;30.0;;trial_start;
SOFTCODE;2021-01-13 13:41:39.303809;;;1;
EVENT;2021-01-13 13:41:39.766437;30.463800000000003;;90;BNC1High
EVENT;2021-01-13 13:41:39.776372;30.4735;;91;BNC1Low
EVENT;2021-01-13 13:41:39.776372;30.4736;;90;BNC1High
